nome,sku,categoria,estoque_atual,estoque_minimo
Parafuso Sextavado M12x50,FER-001,Ferragens e Acessórios,500,200
Rolamento Autocompensador 6205,FER-002,Ferragens e Acessórios,25,10
Rodízio Silicone 50mm (jogo c/4),FER-003,Ferragens e Acessórios,60,40
Dobradiça de Pressão 35mm,FER-004,Ferragens e Acessórios,180,80
Corrediça Telescópica 45cm (par),FER-005,Ferragens e Acessórios,90,50
Pé Cromado Cônico 12cm,FER-006,Ferragens e Acessórios,220,100
Tecido Jacquard Floral 1m,TEC-001,Tecidos e Revestimentos,180,80
Chenille Premium 2m,TEC-002,Tecidos e Revestimentos,95,60
Suede Importado 1.5m,TEC-003,Tecidos e Revestimentos,120,50
Veludo Alemão 1.4m,TEC-004,Tecidos e Revestimentos,85,40
Linho Natural 1.6m,TEC-005,Tecidos e Revestimentos,140,60
Couro Sintético PU 1m,TEC-006,Tecidos e Revestimentos,200,80
Couro Legítimo Bovino 1m²,TEC-007,Tecidos e Revestimentos,30,15
Sarja Pesada 1.8m,TEC-008,Tecidos e Revestimentos,160,70
Chapa MDF 18mm 2.75x1.84m,MAD-001,Estruturas de Madeira,200,80
Sarrafo de Pinus 5x2cm 3m,MAD-002,Estruturas de Madeira,350,100
Compensado 15mm 2.20x1.60m,MAD-003,Estruturas de Madeira,120,50
Eucalipto Serrado 6x6cm 3m,MAD-004,Estruturas de Madeira,180,70
Chapa OSB 15mm 2.44x1.22m,MAD-005,Estruturas de Madeira,90,40
Tábua de Cedrinho 2x15cm 3m,MAD-006,Estruturas de Madeira,140,60
Cola de Contato Extra 1L,COL-001,Colas e Adesivos,150,60
Cola Quente Bastão (kg),COL-002,Colas e Adesivos,45,30
Cola Spray Permanente 500ml,COL-003,Colas e Adesivos,80,40
Cola PVA Marceneiro 5kg,COL-004,Colas e Adesivos,65,25
Adesivo Estrutural Epóxi 1kg,COL-005,Colas e Adesivos,40,20
Espuma D33 Soft 1x2m 10cm,ESP-001,Espumas e Enchimentos,60,30
Manta Acrílica 200g 1x1m,ESP-002,Espumas e Enchimentos,200,80
Fibra Siliconada Solta 1kg,ESP-003,Espumas e Enchimentos,100,50
Espuma D28 Firme 1x2m 5cm,ESP-004,Espumas e Enchimentos,75,35
Espuma Viscoelástica 1x2m 6cm,ESP-005,Espumas e Enchimentos,45,20
Flocos de Espuma 5kg,ESP-006,Espumas e Enchimentos,120,50
Percintas Elásticas 50mm (rolo 25m),ESP-007,Espumas e Enchimentos,80,40
Zíper Reforçado 60cm,ACA-001,Acabamentos,300,120
Botão Encapado 20mm (cento),ACA-002,Acabamentos,500,200
Pesponto Decorativo Duplo 1m,ACA-003,Acabamentos,150,60
Viés de Acabamento 15mm (rolo 50m),ACA-004,Acabamentos,90,40
Linha de Costura Nylon 100g,ACA-005,Acabamentos,350,150
Cordão Sianinha 10mm (rolo 50m),ACA-006,Acabamentos,110,50
Fita de Velcro 50mm (rolo 25m),ACA-007,Acabamentos,70,35
Grampeador Pneumático Industrial,INS-001,Ferramentas e Insumos de Produção,8,3
Pistola de Cola Quente 200W,INS-002,Ferramentas e Insumos de Produção,12,5
Agulha Estofado Curva 10cm (kit c/5),INS-003,Ferramentas e Insumos de Produção,200,100
Serra Circular Bancada 10pol,INS-004,Ferramentas e Insumos de Produção,4,2
Compressor de Ar 50L,INS-005,Ferramentas e Insumos de Produção,3,2
Máquina de Costura Industrial Reta,INS-006,Ferramentas e Insumos de Produção,5,2
Grampo Pneumático 80/14 (cx c/5000),INS-007,Ferramentas e Insumos de Produção,250,100
Tesoura Industrial 12pol,INS-008,Ferramentas e Insumos de Produção,15,8
Fita Métrica Aço 5m,INS-009,Ferramentas e Insumos de Produção,30,15
Lápis de Marcação Tecido (cx c/12),INS-010,Ferramentas e Insumos de Produção,40,20
Pregos Sem Cabeça 15mm (kg),FER-007,Ferragens e Acessórios,280,120
